AGE_GROUP,Month,Sum(FINES),Jurisdiction
65 and over,January,2661,SA
65 and over,July,2079,SA
65 and over,June,2288,SA
65 and over,March,2669,SA
65 and over,May,2381,SA
65 and over,November,2614,SA
65 and over,October,2458,SA
65 and over,September,2339,SA
Unknown,April,333,SA
Unknown,August,371,SA
Unknown,December,285,SA
Unknown,February,417,SA
Unknown,January,391,SA
Unknown,July,296,SA
Unknown,June,367,SA
Unknown,March,498,SA
Unknown,May,386,SA
Unknown,November,380,SA
Unknown,October,385,SA
Unknown,September,341,SA
0-16,April,21,NSW
0-16,August,11,NSW
0-16,December,14,NSW
0-16,February,5,NSW
0-16,January,10,NSW
0-16,July,10,NSW
0-16,June,7,NSW
0-16,March,8,NSW
0-16,May,12,NSW
0-16,November,9,NSW
0-16,October,14,NSW
0-16,September,6,NSW
17-25,April,3888,NSW
17-25,August,3627,NSW
17-25,December,4540,NSW
17-25,February,2923,NSW
17-25,January,3588,NSW
17-25,July,3302,NSW
17-25,June,4399,NSW
17-25,March,3307,NSW
17-25,May,3183,NSW
17-25,November,3406,NSW
17-25,October,3660,NSW
17-25,September,3957,NSW
26-39,April,5387,NSW
26-39,August,4958,NSW
26-39,December,6234,NSW
26-39,February,4176,NSW
26-39,January,5200,NSW
26-39,July,4512,NSW
26-39,June,6108,NSW
26-39,March,4551,NSW
26-39,May,4371,NSW
26-39,November,4435,NSW
26-39,October,4969,NSW
26-39,September,5379,NSW
40-64,April,5193,NSW
40-64,August,4908,NSW
40-64,December,6020,NSW
40-64,February,4263,NSW
40-64,January,5052,NSW
40-64,July,4339,NSW
40-64,June,5841,NSW
40-64,March,4644,NSW
40-64,May,4489,NSW
40-64,November,4444,NSW
40-64,October,5032,NSW
40-64,September,5201,NSW
65 and over,April,979,NSW
65 and over,August,1034,NSW
65 and over,December,1236,NSW
65 and over,February,877,NSW
65 and over,January,981,NSW
65 and over,July,788,NSW
65 and over,June,1179,NSW
65 and over,March,984,NSW
65 and over,May,963,NSW
65 and over,November,924,NSW
65 and over,October,1048,NSW
65 and over,September,1043,NSW
Unknown,April,49545,NSW
Unknown,August,62706,NSW
Unknown,December,66180,NSW
Unknown,February,52680,NSW
Unknown,January,48074,NSW
Unknown,July,54556,NSW
Unknown,June,54545,NSW
Unknown,March,67669,NSW
Unknown,May,60737,NSW
Unknown,November,67571,NSW
Unknown,October,61031,NSW
Unknown,September,60540,NSW
0-16,April,4,ACT
0-16,August,7,ACT
0-16,December,7,ACT
0-16,February,2,ACT
0-16,January,3,ACT
0-16,July,4,ACT
0-16,June,3,ACT
0-16,March,9,ACT
0-16,May,5,ACT
0-16,November,4,ACT
0-16,October,4,ACT
0-16,September,6,ACT
17-25,April,838,ACT
17-25,August,728,ACT
17-25,December,763,ACT
17-25,February,755,ACT
17-25,January,761,ACT
17-25,July,694,ACT
17-25,June,670,ACT
17-25,March,812,ACT
17-25,May,743,ACT
17-25,November,751,ACT
17-25,October,753,ACT
17-25,September,739,ACT
26-39,April,1738,ACT
26-39,August,1460,ACT
26-39,December,1741,ACT
26-39,February,1664,ACT
26-39,January,1961,ACT
26-39,July,1636,ACT
26-39,June,1559,ACT
26-39,March,1759,ACT
26-39,May,1600,ACT
26-39,November,1575,ACT
26-39,October,1666,ACT
26-39,September,1591,ACT
40-64,April,2888,ACT
40-64,August,2191,ACT
40-64,December,2722,ACT
40-64,February,2730,ACT
40-64,January,3245,ACT
40-64,July,2516,ACT
40-64,June,2410,ACT
40-64,March,2897,ACT
40-64,May,2691,ACT
40-64,November,2534,ACT
40-64,October,2471,ACT
40-64,September,2541,ACT
65 and over,April,867,ACT
65 and over,August,675,ACT
65 and over,December,787,ACT
65 and over,February,982,ACT
65 and over,January,989,ACT
65 and over,July,655,ACT
65 and over,June,734,ACT
65 and over,March,941,ACT
65 and over,May,858,ACT
65 and over,November,787,ACT
65 and over,October,859,ACT
65 and over,September,791,ACT
Unknown,April,78,ACT
Unknown,August,90,ACT
Unknown,December,121,ACT
Unknown,February,104,ACT
Unknown,January,104,ACT
Unknown,July,100,ACT
Unknown,June,93,ACT
Unknown,March,91,ACT
Unknown,May,94,ACT
Unknown,November,111,ACT
Unknown,October,98,ACT
Unknown,September,101,ACT
